09:32:51:995201, onepos_HLK_2, 40:d6:3c:00:04:e1, -81
09:32:52:120900, onepos_HLK_3, 40:d6:3c:00:06:1d, -64
09:32:52:186687, onepos_HLK_8, 40:d6:3c:00:05:49, -80
09:32:52:284024, onepos_HLK_1, 40:d6:3c:00:04:a0, -72
09:32:52:732372, onepos_HLK_3, 40:d6:3c:00:06:1d, -63
09:32:52:779886, onepos_HLK_3, 40:d6:3c:00:06:1d, -75
09:32:52:921641, onepos_HLK_7, 40:d6:3c:00:06:1e, -81
09:32:52:925315, onepos_HLK_2, 40:d6:3c:00:04:e1, -75
09:32:52:936996, onepos_HLK_1, 40:d6:3c:00:04:a0, -73
09:32:52:986016, onepos_HLK_8, 40:d6:3c:00:05:49, -77
09:32:53:135269, onepos_HLK_7, 40:d6:3c:00:06:1e, -77
09:32:53:204487, onepos_HLK_1, 40:d6:3c:00:04:a0, -73
09:32:53:429799, onepos_HLK_1, 40:d6:3c:00:04:a0, -72
09:32:53:430619, onepos_HLK_3, 40:d6:3c:00:06:1d, -62
09:32:53:475945, onepos_HLK_1, 40:d6:3c:00:04:a0, -72
09:32:53:612455, onepos_HLK_2, 40:d6:3c:00:04:e1, -86
09:32:53:927054, onepos_HLK_7, 40:d6:3c:00:06:1e, -82
09:32:53:967208, onepos_HLK_3, 40:d6:3c:00:06:1d, -62
09:32:54:139767, onepos_HLK_1, 40:d6:3c:00:04:a0, -69
09:32:54:348116, onepos_HLK_8, 40:d6:3c:00:05:49, -79
09:32:54:574974, onepos_HLK_3, 40:d6:3c:00:06:1d, -63
09:32:54:713709, onepos_HLK_2, 40:d6:3c:00:04:e1, -73
09:32:54:911465, onepos_HLK_1, 40:d6:3c:00:04:a0, -72
09:32:54:934537, onepos_HLK_7, 40:d6:3c:00:06:1e, -79
09:32:55:171677, onepos_HLK_8, 40:d6:3c:00:05:49, -83
09:32:55:185290, onepos_HLK_3, 40:d6:3c:00:06:1d, -62
09:32:55:326242, onepos_HLK_2, 40:d6:3c:00:04:e1, -72
09:32:55:354228, onepos_HLK_1, 40:d6:3c:00:04:a0, -72
09:32:55:642630, onepos_HLK_7, 40:d6:3c:00:06:1e, -80
09:32:55:697082, onepos_HLK_3, 40:d6:3c:00:06:1d, -65
09:32:55:738537, onepos_HLK_1, 40:d6:3c:00:04:a0, -72
